,v,R,T,kv_C,kv_Cr,kv_Mo,kv_V,clstar_C,clstar_Cr,clstar_Mo,clstar_V
0,5e-05,2.145718369907051e-06,1699.8296757144578,0.1320433978301085,0.9090045497725113,0.7510124493775311,0.6270186490675466,0.007271605061086103,0.040157250927825516,0.030324927877491782,0.015244689460713343
1,0.00055,5.846711171838736e-07,1705.0953984731996,0.1324771375743341,0.9090500224876319,0.7511368747189047,0.6272050372295238,0.007636159378302722,0.040352437727994295,0.030734508531306593,0.015556934444059894
2,0.0010500000000000002,4.175896371569365e-07,1703.7578058039273,0.13291044403376456,0.9090954497777334,0.7512611757654463,0.6273912391988412,0.007803883829627057,0.040436696623400444,0.030913503783405002,0.01569474573255624
3,0.0015500000000000002,3.4094897238397017e-07,1702.6369262476862,0.13334331785732118,0.9091408317108484,0.75138535270331,0.6275772552543558,0.00792414900904389,0.040495123758303365,0.031038408996426046,0.015791405877496358
4,0.00205,2.947077982706897e-07,1701.6910006843,0.1337757596926301,0.9091861683548724,0.7515094057182774,0.6277630856743674,0.008020534849702136,0.04054080228218322,0.031136512179115224,0.015867611236074993
5,0.00255,2.62975407519979e-07,1700.8695813045908,0.13420777018602564,0.9092314597775673,0.7516333349957608,0.6279487307366216,0.008102087448979833,0.04057868032449452,0.031218165018750424,0.01593123133412619
6,0.00305,2.3948550022070017e-07,1700.1401736705448,0.13463934998255322,0.9092767060465581,0.7517571407208016,0.6281341907183091,0.0081733645054113,0.04061122318071821,0.031288537198106516,0.01598620345969245
7,0.00355,2.212031963944836e-07,1699.4815717412173,0.13507049972597282,0.909321907229336,0.7518808230780729,0.628319465896069,0.008237024935330848,0.040639855482321456,0.03135062212143815,0.016034810971151316
8,0.00405,2.0645698322828483e-07,1698.879290230939,0.135501220058762,0.9093670633932572,0.7520043822518798,0.6285045565459887,0.008294771818041231,0.04066548211342166,0.031406324456922,0.016078508735575262
9,0.00455,1.9424071036814358e-07,1698.323004947635,0.13593151162211936,0.9094121746055448,0.7521278184261609,0.6286894629436066,0.008347769514587091,0.0406887170632496,0.031456938621906246,0.016118286706987065
10,0.005050000000000001,1.8390783268762202e-07,1697.8050899492548,0.13636137505596738,0.909457240933287,0.7522511317844883,0.6288741853639123,0.008396853453009346,0.040709997825067,0.03150338827849124,0.016154852090233422
11,0.005550000000000001,1.750214915537271e-07,1697.3197432371876,0.13679081099895582,0.909502262443439,0.7523743225100692,0.6290587240813486,0.008442645807514455,0.04072964812953725,0.03154635782091204,0.01618872944322164
12,0.0060500000000000016,1.6727451240160815e-07,1696.8624404145637,0.13721982008846478,0.9095472392028229,0.7524973907857462,0.6292430793698126,0.008485623883315686,0.040747914841613164,0.031586369793937245,0.01622031966544152
13,0.006550000000000002,1.6044379233033035e-07,1696.4295794675281,0.137648402960608,0.9095921712781283,0.7526203367939993,0.6294272515026577,0.008526162813575334,0.04076499088854977,0.031623833049583806,0.01624993671930436
14,0.0070500000000000024,1.543628725600323e-07,1696.0182417106782,0.13807656025023585,0.9096370587359118,0.7527431607169456,0.6296112407526935,0.008564563420704194,0.040781030154815115,0.03165907406100042,0.01627783152563212
15,0.007550000000000003,1.4890470662732649e-07,1695.6260260366519,0.13850429259093844,0.9096819016425985,0.7528658627363407,0.6297950473921891,0.00860107107154835,0.04079615751996943,0.03169235804404525,0.016304208092563104
16,0.008050000000000003,1.4397042881676957e-07,1695.2509309748405,0.13893160061504886,0.9097267000644809,0.7529884430335796,0.6299786716928724,0.008635888834486316,0.04081047583517442,0.03172390364952475,0.016329234742217643
17,0.008550000000000004,1.394818007591659e-07,1694.8912688507219,0.13935848495364633,0.909771454067721,0.7531109017896981,0.6301621139259332,0.008669186902995788,0.040824070901071124,0.03175389345478824,0.01635305213255286
18,0.009050000000000004,1.3537599280177654e-07,1694.5456020506501,0.13978494623655915,0.909816163718349,0.7532332391853723,0.6303453743620236,0.008701109499233396,0.040837015101255134,0.031782481627666594,0.016375779120693948
19,0.009550000000000005,1.3160189272302094e-07,1694.212694859538,0.1402109850923679,0.9098608290822645,0.7533554554009213,0.6305284532712596,0.00873178003182205,0.040849370107451155,0.03180979963657181,0.016397517133971026
20,0.010050000000000005,1.2811744024606724e-07,1693.8914764933859,0.14063660214840848,0.9099054502252363,0.7534775506163061,0.6307113509232215,0.008761305016326546,0.04086118892887341,0.031835960579340364,0.016418353485431778
21,0.010550000000000006,1.2488766674335376e-07,1693.5810123202994,0.14106179803077531,0.9099500272129039,0.7535995250111326,0.6308940675869577,0.008789777101630874,0.04087251748908359,0.03186106251628139,0.016438363928019298
22,0.011050000000000006,1.2188322979087164e-07,1693.280481171983,0.14148657336432421,0.909994560110776,0.7537213787646506,0.6310766035309826,0.008817277438268293,0.04088339585612602,0.031885191072051726,0.016457614649459485
23,0.011550000000000006,1.1907930142568184e-07,1692.9891572533152,0.1419109287726756,0.9100390489842323,0.7538431120557562,0.6312589590232812,0.008843877554499169,0.04089385921406762,0.03190842149186482,0.016476163849553953
24,0.012050000000000007,1.164547135275077e-07,1692.7063955621554,0.14233486487821748,0.9100834938985227,0.7539647250629908,0.6314411343313077,0.008869640859648259,0.040903938639187065,0.03193082028527322,0.016494063001720512
25,0.012550000000000007,1.1399129283583228e-07,1692.4316200325575,0.14275838230210855,0.9101278949187694,0.754086217964545,0.6316231297219891,0.008894623860304294,0.040913661726174354,0.031952446553082096,0.016511357871812415
26,0.013050000000000008,1.1167333786793465e-07,1692.1643138025045,0.14318148166428113,0.910172252109965,0.7542075909382557,0.6318049454617245,0.008918877153986014,0.040923053098299314,0.03197335306903083,0.016528089349029922
27,0.013550000000000008,1.0948720326145929e-07,1691.904011165361,0.14360416358344436,0.9102165655369742,0.7543288441616103,0.631986581816388,0.008942446247441747,0.04093213482643443,0.03199358716871567,0.01654429412905691
