,v,R,T,kv_C,kv_Cr,kv_Mo,kv_V,clstar_C,clstar_Cr,clstar_Mo,clstar_V
0,5e-05,1.0745967696849374e-06,1687.5878944933852,0.28304779681354575,0.8800079994667023,0.6400239984001067,0.4300379974668355,0.04073430174103651,0.0070211829607925895,0.03027401074127304,0.015218087135517984
1,0.00055,3.131012324099702e-07,1688.3639716567507,0.28352541469588965,0.8800879355139566,0.6402638065418694,0.43041769369129307,0.04183895971244866,0.00705187499078215,0.030676998246570605,0.015543106317908615
2,0.0010500000000000002,2.251969340395597e-07,1684.9847239602277,0.2840023966446974,0.8801677651288196,0.6405032953864589,0.43079688436189334,0.042342145896160956,0.007065409451239011,0.030856994527868043,0.015689951197917135
3,0.0015500000000000002,1.8461707522083028e-07,1682.3893117426962,0.2844787439292129,0.8802474885237177,0.640742465571153,0.4311755704876588,0.04270373283807121,0.007074969497262657,0.030984991921713768,0.015795011831415847
4,0.00205,1.6005521344345186e-07,1680.2554661308504,0.2849544578153048,0.8803271059105113,0.6409813177315339,0.43155375307492855,0.04299395969261563,0.0070825448394778836,0.031086925095437753,0.015879061018243924
5,0.00255,1.4316434541421283e-07,1678.4249450968223,0.28542953956547734,0.8804066175004982,0.6412198525014948,0.4319314331273669,0.04323977527946853,0.007088893913578801,0.031172706450546928,0.015950056386601474
6,0.00305,1.3064100021669793e-07,1676.8107687345048,0.28590399043888187,0.8804860235044154,0.6414580705132461,0.432308611645973,0.043454772888068795,0.00709439730930399,0.03124732075479168,0.01601200693298946
7,0.00355,1.2088152585599967e-07,1675.3598412496576,0.2863778116913277,0.8805653241324399,0.6416959723973195,0.432685289629089,0.04364689287256586,0.007099276360294436,0.0313136722317243,0.016067252003586018
8,0.00405,1.1300119020826629e-07,1674.0371894946704,0.2868510045752934,0.8806445195941913,0.6419335587825741,0.433061468072409,0.043821227447777826,0.007103672451655517,0.03137361908063676,0.0161172904395732
9,0.00455,1.0646673439646197e-07,1672.8184432271742,0.28732357033993766,0.8807236100987343,0.642170830296203,0.43343714796898813,0.04398126206998972,0.0071076820113419766,0.03142843050875247,0.016163147278916934
10,0.005050000000000001,1.0093511924617822e-07,1671.6858728930883,0.2877955102311105,0.8808025958545793,0.6424077875637376,0.43381233030925104,0.044129500211874596,0.007111374071949386,0.031479016375409,0.016205558192068356
